@AvnishAxis @VictoryForNamo @HDFCBank_Cares @PMOIndia @dilipkpandey excuses were developed for those who don't have mind to solve problems,Miscellaneous,
"@TheOfficialSBI your site is not working.please do something.urgent",Miscellaneous,
@sarikajohari @FinMinIndia @TheOfficialSBI please look into it public suffering,Displeasure,
Happy to see that @HDFCBank_Cares bank personnel are managing the payments/exchange/withdrawals very well.,Compliment,
@HDFCBank_Cares can i deposit cash through ATM machine.. as earlier. And how much i can deposit. @HDFC_Bank,Miscellaneous,
@TheOfficialSBI Unable to activate new ATM Debit Card with OnlineSBI e-services option. Error message coming up. Tried multiple times.,Miscellaneous,
@mediacrooks @ICICIBank @TheOfficialSBI @arunjaitley nice suggestion,Compliment,
@HDFCBank_Cares Mr  Summit  Upper is not  paying  attention  on my issue.  Please  give  my case  to other  bona-fide officer.,Displeasure,
#ShameOnSBI @TheOfficialSBI for nt being capable to serve in #Kannada unfit to be a #PublicSectorBank #LOLSBI. GoTo #KannadaGottilla.com lol,Displeasure,  
@TheOfficialSBI Hi I am trying to book a flight from China but my RMN is from India hence I can't verify with OTP could you suggest smthng?,Miscellaneous,
"@TheOfficialSBI too many days gone..as per your instructions i have done email on twitter@sbi.co.in. .but still i hv not got rply9814444018",Miscellaneous,
RT @GKanudawala: @TheOfficialSBI @SBICard_Connect no customer care direct connect for complaint registration #SBIKillingaamaadmi,Displeasure,
@KotakBankLtd and hats off to the staff for keeping their cool inspite of all this effort and extra work.,Compliment,
I'm not given to change old notes from the @TheOfficialSBI in surat branch code is 11049. This is injustice with me. @RBI @FinMinIndia,Displeasure,
"@TheOfficialSBI @FinMinIndia @ICICIBank ATM's have no cash.. all ATM's displayed message ""Out of Service""",Displeasure,
@TheOfficialSBI  not a singl atm is working in Jodhpur.I am standing in Sbi main branch in jodhpur.,Displeasure,
Now no income for SBI BANK CSP  HOLDER ..pls help us sir @PMOIndia @TheOfficialSBI,Displeasure,
@ICICIBank_Care Roaming since morning 5:30 couldn't find a single ATM working. And #chandakocchar says ATM working since last eve.,Displeasure,
"Changing, depositing&amp;withdrawing currency was smooth as a song in PSB. Very well managed in Blr @RBI @narendramodi @TimesNow @TheOfficialSBI",Compliment,
"@KotakBankLtd yes, it's fine now. Earlier, I was being directed to a blank page! Tried from several browsers. Appreciate the prompt service",Compliment,
