3700,@HDFCBank_Cares why you people have such slow services,Displeasure
3701,"@ICICIBank_Care @NVamsikrishnan 
icici khetwadi closed at 3.30pm on Sat 12nov 2016,Plz take suitable action 4 not f https://t.co/bhXy3nnKOY",Miscellaneous
3702,Worst response to customer @TheOfficialSBI  in this type of situation,Displeasure
3703,"@ICICIBank_Care @ICICIBank  I am in Goa, with no money.can I withdraw money using withdrawal slips from any branch in Goa?? Help much needed",Miscellaneous
3704,"@KotakBankLtd Debashish &amp; Branch Head Ramwadi,Pune branch. Hats off to you!!! Cherish to bank with Kotak... #konakonakotak",Compliment
3705,"@HDFCBank_Cares 
Fd interest amount descrpency. Whom should I write to?",Miscellaneous
3706,@TheOfficialSBI what a service by your branch code16621! Govt say that branch will open frm 8am to 8pm.But brnch shut their gate bfr 6pm,Displeasure
3707,@TheOfficialSBI done. I've emailed you just now.,Miscellaneous
3708,@HDFCBank_Cares one more commitment after not respecting even  one in last 55 days. Zero professionalism. regret joining HDFC as customer,Displeasure
3709,@AxisBankSupport what and where is the #TID no on swipe machine,Miscellaneous
3710,@HDFCBank_Cares OK. Received confirmation mail. Waiting for credit. Thanx,Miscellaneous
3711,@TheOfficialSBI salute you mem.,Compliment
3712,@TheOfficialSBI It will be nice to share some numbers on the amount deposited each day after #blackmoneycrackdown was announced.,Miscellaneous
3713,@ankitagrawal139 @ICICIBank_Care each one has a different experience. Mine at another bank was horrid.,Displeasure
3714,@KotakBankLtd This is excellent service. I still haven't received a call trying to understand my problem.,Displeasure
3715,"@TheOfficialSBI if you want to shut the ATM for filling cash, it's important to inform people in queue. Worst customer service",Displeasure
3716,"@HDFCBank_Cares 3 guys were sitting just outside the entry with forms who said No cash, Come tom.
So basically they lied to me or to you !",Displeasure
3717,@KotakBankLtd why should i take the print of my PDF file and sign then scan again to send for the same..,Miscellaneous
3718,"Exchanged currency at #sbi branch,  quite efficiently done.  @TheOfficialSBI @arunjaitley @RBI",Compliment
3719,@AxisBank @AxisBankSupport enable your DM.... will send Branch response ... don't want to publish issues ..,Miscellaneous
3720,@bankofbaroda CORRUPTION AT BIG LEVEL IN BRKGBank. BOB's Top official promote and support. What's reason.????,Displeasure
3721,@TheOfficialSBI @Straffordjf  when cash will be available in machine? ?,Miscellaneous
3722,Dear @SBICard_Connect How do i change PIN of my Debit Card of your banks's saving account? @TheOfficialSBI,Miscellaneous
3723,"@bankofbaroda Why ur Khetrajpur, Sambalpur, Odisha branch is denyig to exchange Rs 4000, claiming to req acc in that branch @arunjaitley",Displeasure
3724,@TheOfficialSBI i had to return back home from work as businesses dont have a POS. Next time i will pay them using 10 rupees notes :-),Miscellaneous
3725,@narendramodi @TheOfficialSBI all atms areclosed in wardha city of maharashtra.,Displeasure
3726,".@TheOfficialSBI @abndnkmtr SBI - not done. If you cannot understand the concern, he mentioned the IFSC code you could direct it to.",Miscellaneous
3727,"RT @KotakBankLtd: We really appreciate your acknowledgment, @apvpan. Have a superb day ahead! :) https://t.co/jXZcvt1hob",Miscellaneous
3728,@TheOfficialSBI should we wait for tomorrow. Waiting for almost 2 hours,Displeasure
3729,@TheOfficialSBI waiting from 3 hours and in your branch only 1 staff for exchanging money of so many people. #ShamefulWorkRate,Displeasure
3730,@bankofbaroda high inconveniences at Kalyan nagar branch Bangalore.  No separate line for senior citizens.. https://t.co/So3VOxsTRD,Displeasure
3731,"Only @AxisBank n @bankofbaroda ATMs are functioning 
@arunjaitley 
@FinMinIndia 
@narendramodi",Compliment
3732,"@bankofbaroda @BankofBarodaCEO 
As of now #mbanking connectivity is restored. Plz ensure proper functioning round the clock.
Thanks.",Miscellaneous
3733,@TheOfficialSBI  I have sent the email id as a Direct Message,Miscellaneous
3734,"@HDFCBank_Cares 
Unable to online transaction , unable to transfer money in other account
 Didn't receive OTP please do needful asap",Displeasure
3735,"RT @vikramwkarve: Request @TheOfficialSBI promulgate list of #SBI #ATMs open in #Pune
Most ATMs shut
@RBI @PMOIndia @FinMinIndia
#DeMonetis",Displeasure
3736,@TheOfficialSBI my frnd recently went to UK..have old notes there..how to exchange/deposit. Pls help.,Miscellaneous
3737,@TheOfficialSBI You should fasten the process of disbursing customers to exchange notes. Long queues everywhere. Cu https://t.co/aReveC7mu0,Displeasure
