"@RubikaLiyaquat @TheOfficialSBI branch closed at4pm,many still r in Queues4rnLongTime
@ZeeNews @paritoshchoubey https://t.co/lhcZfHtObk",Displeasure
@HDFCBank_Cares :The bank is refusing to accept cash and wants source of income. How to proceed.,Displeasure
@Baalkeeg @PMOIndia @FinMinIndia @arunjaitley @sanjaynirupam @CMOMaharashtra @ArvindKejriwal @AxisBankSupport axis bank saying v shl nt acpt,Displeasure
@HDFCBank_Cares No choice for noida (UP) in your branch list,Displeasure
New Answer : Try @TheOfficialSBI ATM if nearby. Mostly only gov. Are capable of dispensing cash. But queue may b... https://t.co/2gVp8g2Ywy,Miscellaneous
"@HDFCBank_Cares still no action 4m ur end. Kindly take necessary step &amp; dont violate @RBI guidlines.
Cc @arunjaitley https://t.co/jkvlp6i8Pm",Miscellaneous
@AxisBankSupport recently i open an salary A/C ..i need internet banking password.. what is procedure to do that..plz help,Miscellaneous
@HDFCBank_Cares sent required details with trail mail.,Miscellaneous
@TheOfficialSBI Bagula Branch (Code - 1302) closed before 4 pm today...2 hours before other banks..reason 4 d same https://t.co/5lQq0EEx4o,Displeasure
@AxisBankSupport Internet banking transactions have been failing since 3 months. Before that I did not have an issue.,Miscellaneous
@ICICIBank_Care was in Que since 10: 00 am morning bt was nt able to exchange money#poor and slow customer service@dilshad garden branch,Displeasure
@TheOfficialSBI till what time your branches will be open today,Miscellaneous
@TheOfficialSBI thanks sir,Miscellaneous
@ICICIBank_Care @ICICIBank  there is no cash in this world today and your debit card started giving tantrums? What-d-hell ?,Displeasure
@HDFC_Bank @HDFCBank_Cares i did not get confirmation email and sms when payment is debited from card,Miscellaneous
@KotakBankLtd poor service of Kotak bank in Allahabad my number is 9935099908,Miscellaneous
@KotakBankLtd @HMOIndia @sudhirchaudhary kotak Bank giviing good service when ysbank hdfc n icici closed its atm https://t.co/mvLYQSaVb8,Miscellaneous
RT @aschauhan26: @PMOIndia @RBI @FinMinIndia @bankofbaroda @OfficeOfRG @RashtrapatiBhvn @yadavakhilesh  hw much more patience..n hw much mo,Displeasure
"RT @periyakulam: @TheOfficialSBI
I must record the sincere and customer friendly 
services of the staff of West Mambalam branch ,
chennai f",Compliment
ATM still closed 2 days past no cash nothing. only old currency is exchanged at bank. dont knw wht todo? @narendramodi @RBI @TheOfficialSBI,Displeasure
@ICICIBank @ICICIBank_Care super initiative to us through this currency exchange https://t.co/PprZHGGUtb,Compliment
@AxisBankSupport since we have limitation of only 4K exchange now ??? What's the procedure ????,Miscellaneous
whole staff going for lunch ..is it valid in banks ? @TheOfficialSBI @PNBMetlife1 @centralbank_in @RBI @narendramodi @arunjaitley,Displeasure
"@AmitVaani @AxisBankSupport Hi, please share your application reference number at https://t.co/lRo11NcCAX for us to get this checked.",Miscellaneous
@ICICIBank_Care Thank you for all the support! I had a hassle transaction today.Big hugs to all your employees for the hard work ,Compliment
@narendramodi @PMOIndia @adhia03 @ICICIBank_Care @HDFCBank_Cares ATM's in Hiranandani Estate not open.  People  frustrated@rajanvichare,Displeasure
It's bound to happen. Good and logical statement from @TheOfficialSBI Chairperson https://t.co/45qIieDUub,Miscellaneous
"@TheOfficialSBI CDM and ATM are not working from last 4 months. Branch SBI 0011602 Pratap Nagar, Jodhpur(Raj)",Miscellaneous
RT @TheOfficialSBI: @Rjkartik We are making all efforts to provide uninterrupted service at all our ATMs. (2/3),Compliment
@TheOfficialSBI well thing has been solved now thnx for support ,Compliment
"total transactions in @TheOfficialSBI 2.28 crore transations till 12:15pm @arunjaitley 
#currencynotes",Miscellaneous
RT @Norafatehi: @KotakBankLtd soo upset with this bank ive been a loyal customer and when shit hits the fan they behave like headless chick,Displeasure
"@TheOfficialSBI Then why do you have a branch in Karnataka, Please close all your branches and Get lost",Displeasure
"@arunjaitley @adhia03 @ICICIBank_Care if calibration of ATMs needed for new high val notes, pl get them started with Rs.100 notes  tonight",Miscellaneous
@TheOfficialSBI need customer care email id.. on phone ur cc is not accepting complaint.. and email provided by them is nt wrkng,Miscellaneous
"@TheOfficialSBI Congratulations Mam .!
But ur staffs &amp; official s of your banks forgett a term that is ""Customer service nd Satisfaction """,Displeasure
"@bankofbaroda  Mr.K.P. Singh,Chairman, BRKGB is running a equal bank of corruption and extorting money from customer. @narendramodi  Action?",Miscellaneous
@ANI_news @TheOfficialSBI Proud of being a member of SBI family!,Compliment
@ICICIBank_Care Will they accept deposit more than 50000/-?,Miscellaneous
@TheOfficialSBI really,Miscellaneous
@TheOfficialSBI already done the complaint over helpline. And need written apology from manager.,Displeasure
@StinkiestBrain @TheOfficialSBI It's down since last 5+ hours. #FAIL #Mumbai #Pune #SBI State Bank Of India,Displeasure
"@KotakBankLtd #kotaksucks double transaction issue, bank asking to contact dealer, wht if dealer is gas sttn 500 km far on highway",Displeasure
@TheOfficialSBI what would the limit of deposit in sbi account so that deposited money cn be used on digital platforms like IMPS NEFT RTGS,Miscellaneous
@TheOfficialSBI sir I am a student @ Itanagar. I dont have bank acc. here I have acc in Kolkata. SBI is refusing to exchange money Plz help.,Miscellaneous
"@CNBCTV18Live @aakuraj @TheOfficialSBI 

""I need liquid money to invest in my growing economy to boost the GDP &amp; earn further - "" ",Miscellaneous
Get your facts right buddy. All banks have sent alerts like this. All papers reported the same. @321ynnus https://t.co/O0KK5vbD7f,Miscellaneous
@AxisBankSupport. tried the same link. But there is no link to submit.,Miscellaneous
"@TheOfficialSBI No cash... In Kalyani nagar, Pune branch they provide cash for ""exchange"" of 15000 but not for withdrawal of 2000. Why ???",Miscellaneous
@KotakBankLtd ...lazy worker in this bank,Displeasure
"Effect of #DeMonetisation on @HDFCBank_Cares @HDFCBankNews. 25 customers, 2 hrs still waiting for turn. Worse than tortoises. #BlackMoney",Displeasure
"@TheOfficialSBI l received a duplicate savings.pass book, but CR.RS.115/- from my account is it right?",Miscellaneous
@TheOfficialSBI please remove charges on swipe. If u do then all will accept cashless,Displeasure
"@TheOfficialSBI u have pathetic online banking servicing,",Displeasure
@TheOfficialSBI give number from which i can get sms about my account,Miscellaneous
@ICICIBank_Care thanks.,Compliment
"""Your bank has disabled this option""

Can't top up @Paytm  wallet from @TheOfficialSBI netbanking.
How do I pay for https://t.co/zf4WxCCd28",Miscellaneous
@KotakBankLtd @KotakBankLtd ..can u help me to get dm??? Of ghatkopar east branch 60ft road mumbai-400077 @RBI,Miscellaneous
.@TheOfficialSBI aims to help those in need with 'hope loan'. Watch this amazing campaign #BeTheHope. https://t.co/C5u84UubXI,Compliment
RT @harshalkar: I managed to deposit my 500&amp;1000currency in just 20mins at @bankofbaroda branch Opera house without any hassle stop questio,Compliment
@tourismgoi @PostOfficeIndia @incredibleindia @dr_maheshsharma @TheOfficialSBI @my_rajasthan  please help this gent https://t.co/Uh9AOTbrJp,Miscellaneous
"RT @KotakBankLtd: @vinodunny We are on it replenishing ATM cash, working overtime to ensure minimum disruptions. Pls bear with us ^Team Ko",Miscellaneous
"@HDFCBank_Cares hdfc bank sarjapur road near wipro office, delta signature tower, Bangalore,",Miscellaneous
@TheOfficialSBI it says dat server is down from yesterday my several works r pending resolve it asap!,Displeasure
"Thanks to @TheOfficialSBI, for #CustomerSupport ! Thanks from an Indian. @narendramodi @FinMinIndia @RBI @IMFNews ~~ #BlackMoney in India ~~",Compliment
"@HDFCBank_Cares kindly prove how do you care? Also explain should I consider the so called ""personal banker"" HDFC's ""personal sales person""?",Displeasure
How to deal with #Rs500andRs1000 note ban. Msg sent by @HDFCBank_Cares https://t.co/KtrA5j4pTq,Miscellaneous
"India still being ruled by 1860s mindset of pulverising its spirits. #Incompetent #nincompoops
@RBI @TheOfficialSBI @timesofindia #shameless",Displeasure
"@AxisBank
 @AxisBankSupport 
Till what time your banks are supposed to make transections &amp; exchange of currency notes today (10/11/16)",Miscellaneous
@KotakBankLtd : Rs. 862 debited from my salary account without any sms/email update yesterday against annual fee for debit card.,Miscellaneous
@htTweets @TheOfficialSBI and you must work outside and see how the weather is. Your ATM watchmen deserve more pay than you for helping,Displeasure
@sankrant Hail the Banks' staff in rebuilding India @indianbanksorg @indianbankers @indianbanks @TheOfficialSBI @HDFC_Bank @ICICIBank 2Uall,Compliment
"RT @Digamber: @ishq1010 why, they are misbehaving like that? @KaustubhRedkar @UfterYou  @HDFC_Bank @HDFCBank_Cares #rbi #bank #hdfcbankFail",Miscellaneous
@TheOfficialSBI Thank you for your response.,Compliment
"Kindly advice that when cash would be available on axis bank ATM,s in Faridabad @AxisBank @AxisBankSupport ?",Miscellaneous
@TheOfficialSBI please get in touch with @KotakBankLtd they are providing the best service.,Miscellaneous
RT @skv_india: #NoCashATM lines getting bigger at Sector 48 Noida @HDFC_Bank @HDFCBank_Cares @RBI @FinMinIndia @arunjaitley https://t.co/RD,Displeasure
"'@TheOfficialSBI e-CORNER is Still Shut at #Kalimpong
Writes: Adewin Rai

Read: https://t.co/UyM81pGcJx https://t.co/NtNHnxybfu",Displeasure
"Why collecting photocopied ID proofs, when they can verify form details with original id proof  @DasShaktikanta @bankofbaroda @RBI (2/2)",Displeasure
"@ICICIBank_Care 

Contact number : 9913019357",Miscellaneous
@AxisBankSupport @AxisBank @financialombuds pl intervene too because axis bank never reply any query @RBI,Displeasure
@TheOfficialSBI one of d official working at Patna Main Branch gav such an awful response &amp; didn't exchange while he does for his relatives,Displeasure
"@ICICIBank_Care Durga Vihar Hotel, Opposite Railway Station, Bhayender (E),
Thane. This atm was loaded 2-3 days back Y not my near by atm???",Miscellaneous
